ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"221.181.174.15","elite","AS56046","CN","China Mobile communications corporation","502","China Mobile","4153","socks4","1182","1","2023-03-07T05:08:29.216Z","99","1180","1194"
"104.18.161.122","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","1283","1","2023-03-07T05:08:29.215Z","100","1191","1195"
"202.40.188.201","elite","AS23991","BD","Ranks ITT","190","Ranks ITT Ltd","4145","socks4","1134","1","2023-03-07T05:08:29.576Z","100","1158","1161"
"154.113.86.193","elite","AS37282","NG","Mainone Cable Company","131","MaiOne SME","5678","socks4","1267","1","2023-03-07T05:08:29.193Z","100","1157","1159"
"49.51.97.76","elite","AS132203","CA","OPHL","93","Tencent cloud computing (Beijing) Co., Ltd.","443","socks4","1174","1","2023-03-07T05:08:29.552Z","12","137","1150"
"193.107.169.222","elite","AS50648","UA","PE UAinet","51","PE UAinet","5678","socks4","1196","1","2023-03-07T05:08:29.551Z","98","1164","1185"
"149.20.253.126","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","1225","1","2023-03-07T05:08:29.220Z","100","1189","1192"
"181.48.70.30","elite","AS14080","CO","Telmex Colombia S.A.","143","Telmex Colombia S.A.","4153","socks4","1289","1","2023-03-07T05:08:29.192Z","99","1180","1195"
"45.8.107.115","elite","AS209242","DE","Cloudflare London","1","Araxio Development N.V","80","socks5","1241","1","2023-03-07T05:08:28.564Z","100","1105","1105"
"101.96.117.164","elite","AS24173","VN","NetNam Corporation","191","NETNAM","1080","socks4","1341","1","2023-03-07T05:08:28.530Z","100","1135","1136"
"43.153.30.185","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","148","Tencent Cloud Computing","443","socks5","1227","1","2023-03-07T05:08:28.174Z","88","1005","1148"
"107.173.209.7","elite","AS36352","US","ColoCrossing","89","Hudson Valley Host","80","socks4","1208","1","2023-03-07T05:08:28.558Z","100","1153","1153"
"181.174.85.78","elite","AS23243","GT","Comcel Guatemala S.A.","138","INGESCA, SOCIEDAD ANONIMA","5678","socks4","1380","1","2023-03-07T05:08:28.156Z","97","1159","1194"
"177.105.68.49","elite","AS262637","BR","Netprimus Tecnologia Ltda","161","Netprimus Tecnologia Ltda","4153","socks4","1304","1","2023-03-07T05:08:28.882Z","100","1192","1194"
"103.30.84.50","elite","AS18103","ID","Neuviz Net","180","N/A","1080","socks4","1244","1","2023-03-07T05:08:28.902Z","97","1143","1178"
"178.212.48.84","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","28","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","1353","1","2023-03-07T05:08:28.880Z","100","1194","1195"
"195.225.49.138","elite","AS51357","UA","INETIN","41","Freenet Ltd.","55774","socks4","1314","1","2023-03-07T05:08:28.882Z","96","1143","1185"
"103.94.133.139","elite","AS136128","ID","PT CITRA AKSES INDONUSA","172","PT CITRA AKSES INDONUSA","4153","socks4","1385","1","2023-03-07T05:08:28.528Z","99","1160","1168"
